STATISTIC,Statistic Label,Week,Year,C03132V03784,Luas Line,UNIT,VALUE
TII03C01,Passenger Journeys,1,2019,-,All Luas lines,Number,549533
TII03C01,Passenger Journeys,1,2019,1,Red line,Number,274139
TII03C01,Passenger Journeys,1,2019,2,Green line,Number,275394
TII03C01,Passenger Journeys,2,2019,-,All Luas lines,Number,839022
TII03C01,Passenger Journeys,2,2019,1,Red line,Number,408199
TII03C01,Passenger Journeys,2,2019,2,Green line,Number,430823
TII03C01,Passenger Journeys,3,2019,-,All Luas lines,Number,819359
TII03C01,Passenger Journeys,3,2019,1,Red line,Number,376785
TII03C01,Passenger Journeys,3,2019,2,Green line,Number,442574
TII03C01,Passenger Journeys,4,2019,-,All Luas lines,Number,860745
TII03C01,Passenger Journeys,4,2019,1,Red line,Number,405224
TII03C01,Passenger Journeys,4,2019,2,Green line,Number,455521
TII03C01,Passenger Journeys,5,2019,-,All Luas lines,Number,912795
TII03C01,Passenger Journeys,5,2019,1,Red line,Number,441197
TII03C01,Passenger Journeys,5,2019,2,Green line,Number,471598
TII03C01,Passenger Journeys,6,2019,-,All Luas lines,Number,912612
TII03C01,Passenger Journeys,6,2019,1,Red line,Number,449398
TII03C01,Passenger Journeys,6,2019,2,Green line,Number,463215
TII03C01,Passenger Journeys,7,2019,-,All Luas lines,Number,940476
TII03C01,Passenger Journeys,7,2019,1,Red line,Number,466795
TII03C01,Passenger Journeys,7,2019,2,Green line,Number,473682
TII03C01,Passenger Journeys,8,2019,-,All Luas lines,Number,952291
TII03C01,Passenger Journeys,8,2019,1,Red line,Number,480974
TII03C01,Passenger Journeys,8,2019,2,Green line,Number,471317
TII03C01,Passenger Journeys,9,2019,-,All Luas lines,Number,929391
TII03C01,Passenger Journeys,9,2019,1,Red line,Number,468299
TII03C01,Passenger Journeys,9,2019,2,Green line,Number,461093
TII03C01,Passenger Journeys,10,2019,-,All Luas lines,Number,941919
TII03C01,Passenger Journeys,10,2019,1,Red line,Number,475467
TII03C01,Passenger Journeys,10,2019,2,Green line,Number,466451
TII03C01,Passenger Journeys,11,2019,-,All Luas lines,Number,924998
TII03C01,Passenger Journeys,11,2019,1,Red line,Number,442796
TII03C01,Passenger Journeys,11,2019,2,Green line,Number,482201
TII03C01,Passenger Journeys,12,2019,-,All Luas lines,Number,868205
TII03C01,Passenger Journeys,12,2019,1,Red line,Number,440137
TII03C01,Passenger Journeys,12,2019,2,Green line,Number,428068
TII03C01,Passenger Journeys,13,2019,-,All Luas lines,Number,1003871
TII03C01,Passenger Journeys,13,2019,1,Red line,Number,516298
TII03C01,Passenger Journeys,13,2019,2,Green line,Number,487573
TII03C01,Passenger Journeys,14,2019,-,All Luas lines,Number,933575
TII03C01,Passenger Journeys,14,2019,1,Red line,Number,457616
TII03C01,Passenger Journeys,14,2019,2,Green line,Number,475959
TII03C01,Passenger Journeys,15,2019,-,All Luas lines,Number,945662
TII03C01,Passenger Journeys,15,2019,1,Red line,Number,469346
TII03C01,Passenger Journeys,15,2019,2,Green line,Number,476316
TII03C01,Passenger Journeys,16,2019,-,All Luas lines,Number,842186
TII03C01,Passenger Journeys,16,2019,1,Red line,Number,426377
TII03C01,Passenger Journeys,16,2019,2,Green line,Number,415809
TII03C01,Passenger Journeys,17,2019,-,All Luas lines,Number,801296
TII03C01,Passenger Journeys,17,2019,1,Red line,Number,408238
TII03C01,Passenger Journeys,17,2019,2,Green line,Number,393058
TII03C01,Passenger Journeys,18,2019,-,All Luas lines,Number,919255
TII03C01,Passenger Journeys,18,2019,1,Red line,Number,453764
TII03C01,Passenger Journeys,18,2019,2,Green line,Number,465491
TII03C01,Passenger Journeys,19,2019,-,All Luas lines,Number,817933
TII03C01,Passenger Journeys,19,2019,1,Red line,Number,411312
TII03C01,Passenger Journeys,19,2019,2,Green line,Number,406621
TII03C01,Passenger Journeys,20,2019,-,All Luas lines,Number,904983
TII03C01,Passenger Journeys,20,2019,1,Red line,Number,446595
TII03C01,Passenger Journeys,20,2019,2,Green line,Number,458388
TII03C01,Passenger Journeys,21,2019,-,All Luas lines,Number,902415
TII03C01,Passenger Journeys,21,2019,1,Red line,Number,455929
TII03C01,Passenger Journeys,21,2019,2,Green line,Number,446486
TII03C01,Passenger Journeys,22,2019,-,All Luas lines,Number,973025
TII03C01,Passenger Journeys,22,2019,1,Red line,Number,502622
TII03C01,Passenger Journeys,22,2019,2,Green line,Number,470403
TII03C01,Passenger Journeys,23,2019,-,All Luas lines,Number,826269
TII03C01,Passenger Journeys,23,2019,1,Red line,Number,422419
TII03C01,Passenger Journeys,23,2019,2,Green line,Number,403850
TII03C01,Passenger Journeys,24,2019,-,All Luas lines,Number,925516
TII03C01,Passenger Journeys,24,2019,1,Red line,Number,471816
TII03C01,Passenger Journeys,24,2019,2,Green line,Number,453700
